"Available End Date","Date de fin de validité"
"Leadtime to Ship","Délai de livraison"
"Product Tax Code","Code d'imposition du produit"
"Magento attribute must be of type text field with input validation as integer number.","L'attribut Magento doit être de type text avec une validation sur un nombre entier."
"Magento attribute must be of type date.","L'attribut Magento doit être de type date."
"Magento attribute must be of type text field. Format example: 2|9.00,10|8.50","L'attribut Magento doit être de type text. Par exemple : 2|9.00,10|8.50"
"Magento attribute must be of type text field or dropdown.","L'attribut Magento doit être de type text ou liste déroulante"
"Product Id Type","Identifiant type produit"
"This code will be used to fill the ""product_id_type"" field in the prices & stocks export file.","Ce code sera utilisé pour remplir le champ ""product_id_type"" dans le fichier d'export des prix & stocks."
"Product Id Value","Identifiant valeur produit"
"The selected attribute will be used as the reference value to identify a product in Mirakl. Only attributes defined in the global scope are listed here.","L'attribut sélectionné sera utilisé comme la valeur de référence pour identifier le produit dans Mirakl. Seuls les attributs définis dans le scope global sont listés ici."
"Configurable Attributes","Attributs configurables"
"Skip Configurable Attributes","Attributs configurables ignorés"
"Select the configurable attributes not supported by the marketplace, if any. Refer to the documentation for more information.","Sélectionnez si besoin les attributs configurables non pris en compte par la marketplace. Consultez la documentation pour plus d'informations."
"Product Reference Identifiers","Identifiants référence produit"
"Are you sure you want to clear this Mirakl listing?","Vous allez vider le listing. Les statuts de synchronisation des produits et des offres vont être perdus.\nActualiser le listing pour recharger le statut des produits et des offres, et pouvoir les exporter à nouveau vers Mirakl."
"Number of Exported Images","Nombre d'images à exporter"
"Number of images exported per product. Images are selected based on the sort order.","Nombre d'images à exporter par produit. Les images sont sélectionnées par ordre de tri."
"Filter Products To Export","Filtrer les produits à exporter"
"Product Special Condition","Conditions spéciales du produit"
"In Promo","En promotion"
"days","jours"
"during the last","lors des derniers"
"Quantity In Stock","Quantité en stock"
"In Stock","En stock"
"and","et"
"Is Salable","Est vendable"
"Special Price Applied","Un prix spécial est appliqué"
"Additional Fields","Champs additionnels"
"There is no additional field to configure.","Aucun champ additionnel à configurer."
"Default Value","Valeur par défaut"
"Specify the value sent for all listing products.","Spécifiez la valeur qui s'applique à l'ensemble des produits du listing."
"Magento Attribute","Attribut Magento"
"Select a Magento attribute. This setting allows you to apply one specific value per product. If empty, the default value is applied.","Sélectionnez l'attribut Magento permettant d'appliquer une valeur par produit. Si ce champ est vide, la valeur par défaut s'applique."
"Maximum %s characters","%s caractères maximum"
"Must match the following format: %s","Doit respecter le format suivant : %s"
"Must be a valid number","Doit être un nombre valide"
"Must be a valid URL","Doit être une URL valide"
"Number of Days Before Products Expire","Nombre de jours avant expiration des produits"
"After X days following the export, status of products in ""Waiting for integration"" will be updated to ""Waiting for export"" and the export tracking will be changed to ""Integration expired"".","Après X jours suivant l'export, le statut des produits ""En attente d'intégration"" sera mis à jour en ""En attente d'export"" et le suivi des exports produits sera mis à jour en ""Intégration expirée""."
"Integration expired","Intégration expirée"
"Expiring products of listing #%s ... %s expired product(s)","Expiration des produits du listing #%s ... %s produit(s) expiré(s)"
"Prices","Prix"
"Prices & Quantities","Prix & Quantités"
"Enable Promotion Catalog Price Rules","Activer les règles de prix catalogue"
"If enabled, exported discount price will be filled with the best price between applicable Magento promotion catalog price rules and Magento special price. If a promotion price is applied, no discount periods are exported. If disabled, only Magento applicable special prices are used.","Si activé, le prix remisé exporté sera le meilleur prix entre le prix Magento calculé à partir des règles de promotions catalogue et le prix barré. Si le prix provient d'une promotion, la période des prix remisés ne sera pas renseignée lors de l'export. Si l'option est désactivée, seuls les prix barrés seront utilisés pour l'export du prix remisé."
"Customer Group","Groupe utilisateur"
"Select the customer group to use for price and quantity export.","Groupe utilisateur à utiliser pour l'export des prix et quantités."
"Discount<br>Price","Prix remisé"
"Discount<br>Start Date","Date de début<br>prix remisé"
"Discount<br>End Date","Date de fin<br>prix remisé"
"Delimiter","Séparateur"
"This tracking cannot be updated.","Le suivi ne peut pas être mis à jour."
"An error occurred while updating the tracking.","Une erreur est survenue lors de la mise à jour du suivi."
"The tracking has been updated successfully.","Le suivi a été mis à jour avec succès."
"Only modified offers will be imported in Mirakl ...","Les offres modifiées uniquement seront importées dans Mirakl ..."
"  => Found %d product(s) to export","  => %d produit(s) à exporter"
"  => Found %d product(s) available for export","  => %d produit(s) éligible(s) pour l'export"
"Number of Days For Failed Products To Be Exported Again","Nombre de jours avant nouvel export des produits en échec"
"After X days following a product in a failure status (""Transformation failed"", ""Integration failed"", ""Invalid report format"", ""Not found in report"") will be updated to ""Waiting for export"".","Nombre de jours pour qu'un produit ayant un statut en échec suite à un export (""Transformation échouée"", ""Intégration échouée"", ""Format rapport invalide"", ""Non trouvé dans le rapport"") soit changé en statut ""En attente d'export"" et soit prêt à être exporté de nouveau."
"Marking failed products of listing #%s as ""to export"" (failure period expired) ... %s product(s) updated","Passage des produits en échec du listing #%s à ""En attente d'export"" (délai en échec expiré) ... %s produit(s) mis à jour"
"Invalid report format","Format du rapport invalide"
"Not found in report","Non trouvé dans le rapport"
"Product not found in marketplace product reports. Try to export prices & stocks. If the error ""product not found"" is returned, try to contact the marketplace. To export the product again, mark it as ""to export"".","Produit non trouvé dans les rapports de la marketplace. Essayez d'exporter les ""Prix & Stocks"". Si une erreur ""produit non trouvé"" est renvoyée, essayez de contacter la marketplace. Pour exporter à nouveau le produit, marquez-le en tant que ""à exporter""."
"Marketplace product reports cannot be processed. Download the report manually and verify your marketplace report configuration in the connection page. To export the product again, mark it as ""to export"".","Le rapport produits de l’opérateur ne peut être lu correctement. Téléchargez le rapport manuellement et vérifiez la configuration du rapport dans la page de connexion. Pour exporter à nouveau le produit, marquez-le en tant que ""à exporter""."
"Will be sent automatically in the next export.","Sera envoyé automatiquement dans le prochain export."
"Exported. Export status is about to be checked.","Exporté. Le statut de l'export va être vérifié automatiquement."
"Your data does not satisfy Mirakl validation. Check the error message. When your product is ready to be exported, click on the Export Products button.","Vos données sont invalides dans Mirakl. Vérifiez le message d'erreur. Lorsque votre produit est prêt à être exporté, cliquez sur le bouton Exporter les produits."
"Marketplace integration in progress. Integration reports will be available soon in Magento.","En cours d'intégration marketplace. Les rapports d'intégration seront bientôt disponibles dans Magento."
"Waiting for successful Price & Stock export for final product availability in the marketplace.","En attente d'un export valide des prix & stocks pour la mise à disposition finale dans la marketplace."
"Your data does not satisfy the marketplace validation. Check the error message. When your product is ready to be exported, click on the Export Products button.","Vos données sont invalides dans la marketplace. Vérifiez le message d'erreur. Lorsque votre produit est prêt à être exporté, cliquez sur le bouton Exporter les produits."
"The marketplace integration report file cannot be processed.","Le rapport d'intégration de la marketplace ne peut pas être interprété."
"Product not found in the marketplace integration reports.","Produit non trouvé dans les rapports d'intégration de la marketplace."
"Product has been correctly imported in the marketplace.","Le produit a été correctement importé dans la marketplace."
"Your data does not satisfy Mirakl validation. Check the error message. When your price & stock is ready to be exported click on the Export Prices & Stocks button.","Vos données sont invalides dans Mirakl. Vérifiez le message d'erreur. Lorsque vos prix & stocks sont prêts à être exportés, cliquez sur le bouton Exporter les prix & stocks."
"Price & Stock has been correctly imported in the marketplace.","Les prix & stocks ont été correctement importés dans la marketplace."
"Product will be deleted from the marketplace in the next export.","Le produit sera supprimé de la marketplace dans le prochain export."
"Products exported successfully","Produits exportés en succès"
"Import price & stock failed","Import prix & stocks échoué"
"Exported","Exportés"
"Errors","Erreurs"
"Filter products by %s status","Filtrer les produits par statut %s"
"Logistic Class","Classe logistique"
"Offer quantity will be set to zero in the marketplace during the next export.","La quantité de l'offre sera définie à zéro dans la marketplace lors du prochain export."
